No dump file specified
 num     #instances         #bytes  class name (module)
  86:           853          27296  java.lang.invoke.LambdaForm$Name (java.base@14.0.1)
  87:           829          26528  org.springframework.asm.Type
  88:          1084          26016  jdk.internal.reflect.NativeConstructorAccessorImpl (java.base@14.0.1)
  89:           520          24960  ch.qos.logback.classic.Logger
  90:          1216          24672  [Lorg.springframework.core.ResolvableType;
  91:           765          24480  java.util.Locale (java.base@14.0.1)
  92:           764          24448  sun.util.locale.BaseLocale (java.base@14.0.1)
  93:           431          24136  org.springframework.asm.Label
  94:           375          24064  [Ljava.util.Hashtable$Entry; (java.base@14.0.1)
  95:           599          23960  java.lang.Package$VersionInfo (java.base@14.0.1)
  96:           745          23840  sun.util.locale.BaseLocale$Key (java.base@14.0.1)
  97:           720          23040  java.lang.Package (java.base@14.0.1)
  98:           360          23040  java.util.zip.Inflater (java.base@14.0.1)
  99:           406          22736  org.springframework.asm.SymbolTable$Entry
 100:           463          22224  org.apache.tomcat.util.modeler.OperationInfo
 101:           926          22224  org.springframework.cglib.core.Signature
 102:           395          22120  sun.util.calendar.ZoneInfo (java.base@14.0.1)
 103:           324          22032  [Ljava.lang.ref.SoftReference; (java.base@14.0.1)
 104:           306          22032  org.springframework.core.type.classreading.AnnotationMetadataReadingVisitor
 105:           550          22000  java.util.StringJoiner (java.base@14.0.1)
 106:           816          19584  org.springframework.util.ConcurrentReferenceHashMap$ReferenceManager
 107:           798          19152  java.util.Collections$UnmodifiableCollection$1 (java.base@14.0.1)
 108:           597          19104  org.springframework.boot.loader.data.RandomAccessDataFile
 109:          1184          18944  java.util.HashSet (java.base@14.0.1)
 110:           338          18928  org.springframework.core.type.classreading.MethodMetadataReadingVisitor
 111:           589          18848  javax.management.MBeanAttributeInfo (java.management@14.0.1)
 112:          1164          18624  java.util.LinkedHashMap$LinkedValues (java.base@14.0.1)
 113:           579          18528  java.util.LinkedHashMap$LinkedKeyIterator (java.base@14.0.1)
 114:          1129          18064  jdk.internal.reflect.DelegatingConstructorAccessorImpl (java.base@14.0.1)
 115:           375          18000  java.util.Hashtable (java.base@14.0.1)
 116:           750          18000  org.springframework.beans.factory.annotation.InjectionMetadata
 117:           717          17208  org.springframework.boot.context.properties.source.ConfigurationPropertyName
 118:          1074          17184  java.lang.ref.ReferenceQueue$Lock (java.base@14.0.1)
 119:           716          17184  org.springframework.boot.context.properties.source.PropertyMapping
 120:           358          17184  org.springframework.boot.loader.jar.ZipInflaterInputStream
 121:           659          17048  [Lorg.springframework.asm.Type;
 122:           699          16776  java.util.zip.Inflater$InflaterZStreamRef (java.base@14.0.1)
 123:           698          16752  org.apache.commons.logging.LogAdapter$Slf4jLocationAwareLog
 124:           513          16416  java.util.ArrayList$Itr (java.base@14.0.1)
 125:           287          16072  java.beans.MethodDescriptor (java.desktop@14.0.1)
 126:            81          15960  [Z (java.base@14.0.1)
 127:           140          15680  org.springframework.beans.factory.annotation.AnnotatedGenericBeanDefinition
 128:           647          15528  java.beans.MethodRef (java.desktop@14.0.1)
 129:           384          15360  java.security.CodeSource (java.base@14.0.1)
 130:           616          14784  sun.reflect.generics.factory.CoreReflectionFactory (java.base@14.0.1)
 131:           366          14640  org.springframework.beans.factory.annotation.InitDestroyAnnotationBeanPostProcessor$LifecycleMetadata
 132:           255          14280  java.util.concurrent.ConcurrentHashMap$KeyIterator (java.base@14.0.1)
 133:           592          14208  java.util.concurrent.locks.ReentrantReadWriteLock (java.base@14.0.1)
 134:           881          14096  java.util.Collections$UnmodifiableSet (java.base@14.0.1)
 135:           352          14080  java.lang.ClassNotFoundException (java.base@14.0.1)
 136:           245          13720  jdk.internal.org.objectweb.asm.Label (java.base@14.0.1)
 137:           425          13600  sun.reflect.generics.repository.ClassRepository (java.base@14.0.1)
 138:           560          13440  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl (java.base@14.0.1)
 139:           156          13376  [Ljava.util.WeakHashMap$Entry; (java.base@14.0.1)
 140:           766          13352  [Ljava.lang.reflect.TypeVariable; (java.base@14.0.1)
 141:           278          13344  java.util.TreeMap (java.base@14.0.1)
 142:           554          13296  org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport$ConditionAndOutcome
 143:           554          13296  org.springframework.boot.autoconfigure.condition.ConditionOutcome
 144:           530          12720  jdk.internal.reflect.NativeMethodAccessorImpl (java.base@14.0.1)
 145:           315          12600  javax.management.MBeanOperationInfo (java.management@14.0.1)
 146:           120          12480  org.springframework.boot.loader.jar.JarFile
 147:           518          12432  sun.reflect.generics.scope.ClassScope (java.base@14.0.1)
 148:           383          12256  org.springframework.cglib.proxy.MethodProxy
 149:           503          12072  org.springframework.core.annotation.AnnotationUtils$AnnotationCacheKey
 150:           501          12024  java.util.concurrent.CopyOnWriteArrayList (java.base@14.0.1)
 151:           250          12000  org.springframework.asm.Frame
 152:           368          11776  java.util.RegularEnumSet (java.base@14.0.1)
 153:           361          11552  org.springframework.cglib.proxy.MethodProxy$CreateInfo
 154:           341          10912  jdk.internal.math.FDBigInteger (java.base@14.0.1)
 155:           340          10880  org.springframework.beans.BeanWrapperImpl$BeanPropertyHandler
 156:           216          10712  [Ljava.lang.invoke.LambdaForm$Name; (java.base@14.0.1)
 157:           661          10576  org.springframework.util.LinkedMultiValueMap
 158:           436          10464  java.time.LocalDateTime (java.base@14.0.1)
 159:           425          10200  sun.reflect.generics.tree.ClassSignature (java.base@14.0.1)
 160:           418          10032  java.time.LocalDate (java.base@14.0.1)
 161:           208           9984  java.lang.invoke.LambdaForm (java.base@14.0.1)
 162:           305           9760  org.apache.tomcat.util.modeler.ParameterInfo
 163:           406           9744  java.time.LocalTime (java.base@14.0.1)
 164:           404           9696  org.springframework.beans.MutablePropertyValues
 165:           241           9640  java.lang.reflect.Parameter (java.base@14.0.1)
 166:           592           9472  java.util.concurrent.locks.ReentrantReadWriteLock$ReadLock (java.base@14.0.1)
 167:           592           9472  java.util.concurrent.locks.ReentrantReadWriteLock$Sync$ThreadLocalHoldCounter (java.base@14.0.1)
 168:           592           9472  java.util.concurrent.locks.ReentrantReadWriteLock$WriteLock (java.base@14.0.1)
 169:           463           9464  [Lorg.apache.tomcat.util.modeler.ParameterInfo;
 170:           168           9408  java.lang.Module (java.base@14.0.1)
 171:           536           9240  [Lsun.reflect.generics.tree.FormalTypeParameter; (java.base@14.0.1)
 172:           191           9168  org.springframework.beans.PropertyValue
 173:           570           9120  jdk.internal.reflect.DelegatingMethodAccessorImpl (java.base@14.0.1)
 174:           425           9088  [Lsun.reflect.generics.tree.ClassTypeSignature; (java.base@14.0.1)
 175:           557           8912  org.springframework.boot.autoconfigure.condition.ConditionMessage
 176:           278           8896  java.lang.invoke.LambdaForm$NamedFunction (java.base@14.0.1)
 177:           276           8832  jdk.internal.reflect.UnsafeStaticObjectFieldAccessorImpl (java.base@14.0.1)
